"U.S. monthly dry natural gas production and monthly average citygate price, 2005-2020",,
production - trillion cubic feet
"price - dollars per 1,000 cubic feet"
"Source: U.S. Energy Information Administration, <em>Natural Gas Monthly</em>, September 2021",,
Note: Citygate is a point or measuring station at which a natural gas distribution utility receives gas from a pipeline company or transmission system.,,
"An interactive line chart showing U.S. monthly dry natural gas production and monthly average citygate price in 2005 through 2020",,
,dry production,citygate price
Sep-2011,1.893,5.94
Oct-2011,2.019,5.45
Nov-2011,1.978,5.29
Dec-2011,2.034,5.03
Jan-2012,2.046,4.85
Feb-2012,1.877,4.73
Mar-2012,2.014,4.84
Apr-2012,1.943,4.19
May-2012,2.016,4.3
Jun-2012,1.939,4.63
Jul-2012,2.055,4.88
Aug-2012,2.045,5.13
Sep-2012,1.991,4.76
Oct-2012,2.062,4.65
Nov-2012,1.998,4.79
Dec-2012,2.046,4.79
Jan-2013,2.023,4.52
Feb-2013,1.833,4.56
Mar-2013,2.023,4.75
Apr-2013,1.983,5.16
May-2013,2.043,5.55
Jun-2013,1.974,5.74
Jul-2013,2.080,5.51
Aug-2013,2.075,5.24
Sep-2013,2.003,5.21
Oct-2013,2.076,4.88
Nov-2013,2.030,4.78
Dec-2013,2.062,4.93
Jan-2014,2.070,5.56
Feb-2014,1.914,6.41
Mar-2014,2.135,6.57
Apr-2014,2.116,5.64
May-2014,2.175,5.9
Jun-2014,2.116,6.05
Jul-2014,2.233,5.99
Aug-2014,2.245,5.49
Sep-2014,2.172,5.51
Oct-2014,2.266,5.16
Nov-2014,2.179,4.91
Dec-2014,2.269,5.15
Jan-2015,2.277,4.48
Feb-2015,2.067,4.57
Mar-2015,2.298,4.35
Apr-2015,2.256,3.93
May-2015,2.298,4.25
Jun-2015,2.219,4.44
Jul-2015,2.300,4.65
Aug-2015,2.302,4.59
Sep-2015,2.242,4.56
Oct-2015,2.300,4
Nov-2015,2.216,3.69
Dec-2015,2.290,3.75
Jan-2016,2.280,3.39
Feb-2016,2.163,3.48
Mar-2016,2.287,3.49
Apr-2016,2.211,3.22
May-2016,2.259,3.44
Jun-2016,2.165,3.84
Jul-2016,2.256,4.42
Aug-2016,2.238,4.33
Sep-2016,2.151,4.6
Oct-2016,2.214,4.19
Nov-2016,2.161,3.9
Dec-2016,2.207,3.96
Jan-2017,2.187,4.21
Feb-2017,2.003,4.13
Mar-2017,2.268,3.84
Apr-2017,2.198,4.2
May-2017,2.271,4.42
Jun-2017,2.219,4.82
Jul-2017,2.317,4.73
Aug-2017,2.315,4.61
Sep-2017,2.280,4.52
Oct-2017,2.398,4.03
Nov-2017,2.393,3.97
Dec-2017,2.492,4
Jan-2018,2.441,4.36
Feb-2018,2.251,3.99
Mar-2018,2.521,3.69
Apr-2018,2.436,3.65
May-2018,2.546,4.14
Jun-2018,2.476,4.49
Jul-2018,2.610,4.5
Aug-2018,2.662,5.25
Sep-2018,2.619,4.72
Oct-2018,2.740,4.1
Nov-2018,2.698,4.28
Dec-2018,2.774,4.72
Jan-2019,2.767,4.03
Feb-2019,2.516,3.91
Mar-2019,2.798,4.07
Apr-2019,2.721,3.72
May-2019,2.833,3.66
Jun-2019,2.750,4.17
Jul-2019,2.857,4.17
Aug-2019,2.926,4.15
Sep-2019,2.843,4.07
Oct-2019,2.963,3.42
Nov-2019,2.915,3.46
Dec-2019,3.009,3.5
Jan-2020,2.954,3.26
Feb-2020,2.761,3.09
Mar-2020,2.956,3.25
Apr-2020,2.786,3.05
May-2020,2.707,3.31
Jun-2020,2.657,3.81
Jul-2020,2.795,3.92
Aug-2020,2.786,4.09
Sep-2020,2.699,4.07
Oct-2020,2.767,3.5
Nov-2020,2.761,3.81
Dec-2020,2.857,3.57
